,timestamp,frame_number,video_name,x1,y1,x2,y2,center_x,center_y,prev_x,prev_y,distance_pixels,distance_meters,speed_ms,speed_kmh,video_sequence,global_frame_number,court_relative_x,court_relative_y,court_position_x_meters,court_position_y_meters,estimated_height_meters,distance_to_net_meters,court_region
1426,2024-01-01 00:00:09.799020,294,input_video_11.mp4,720.3325805664062,684.5098266601562,738.5733642578125,704.1326904296875,729.4529724121094,694.3212585449219,739.4317016601562,650.7040405273438,44.74412525682861,0.36521060570491803,10.95631817114754,39.442745416131146,3,1426,0.5427477473304385,0.9184143631546585,5.953942788214911,21.821525268554687,1.336828726309317,9.941525268554686,behind_near_baseline
1435,2024-01-01 00:00:10.098990,303,input_video_11.mp4,656.6720581054688,737.0396118164062,670.4080810546875,750.5132446289062,663.5400695800781,743.7764282226562,,,82.40342570305127,0.6725934374720777,20.17780312416233,72.6400912469844,3,1435,0.4937054089137486,0.9838312542627728,5.415948335783822,23.375830601283486,1.4676625085255457,11.495830601283485,behind_near_baseline
1438,2024-01-01 00:00:10.198980,306,input_video_11.mp4,633.1455688476562,764.1264038085938,650.151123046875,781.3857421875,641.6483459472656,772.7560729980469,,,36.31896715110806,0.29644276015450555,8.893282804635167,32.0158180966866,3,1438,0.477416924067906,1.0221641177222842,5.237263657024929,24.286619437081473,1.5443282354445684,12.406619437081472,behind_near_baseline
1439,2024-01-01 00:00:10.232310,307,input_video_11.mp4,625.5781860351562,779.4756469726562,641.130615234375,796.375732421875,633.3544006347656,787.9256896972656,641.6483459472656,772.7560729980469,17.288921297986093,0.14111567458252042,4.233470237475612,15.240492854912205,3,1439,0.4712458338056292,1.0422297482768064,5.169566796847753,24.76337881905692,1.5844594965536127,12.88337881905692,behind_near_baseline
1440,2024-01-01 00:00:10.265640,308,input_video_11.mp4,622.5160522460938,787.669921875,638.416015625,803.2179565429688,630.4660339355469,795.4439392089844,633.3544006347656,787.9256896972656,8.053988943971493,0.06573828773464828,1.9721486320394483,7.099735075342014,3,1440,0.46909675144013907,1.0521745227632069,5.145991363298326,24.999666660853798,1.6043490455264138,13.119666660853797,behind_near_baseline
1442,2024-01-01 00:00:10.332300,310,input_video_11.mp4,627.0382690429688,710.114013671875,645.8984985351562,730.1785278320312,636.4683837890625,720.1462707519531,,,75.53652810944516,0.6165444295837897,18.49633288751369,66.58679839504929,3,1442,0.47356278555733816,0.9525744322115782,5.194983757564,22.6331685093471,1.4051488644231565,10.7531685093471,behind_near_baseline
1443,2024-01-01 00:00:10.365630,311,input_video_11.mp4,632.2073364257812,684.8070678710938,651.1210327148438,704.34423828125,641.6641845703125,694.5756530761719,636.4683837890625,720.1462707519531,26.09315684388178,0.21297762691769578,6.389328807530873,23.001583707111145,3,1443,0.477428708757673,0.9187508638573703,5.237392935071673,21.82952052525112,1.3375017277147405,9.949520525251119,behind_near_baseline
1445,2024-01-01 00:00:10.432290,313,input_video_11.mp4,645.0836181640625,587.905517578125,662.6456909179688,605.8595581054688,653.8646545410156,596.8825378417969,,,98.45199963283072,0.8035851458126139,24.107554374378417,86.7871957477623,3,1445,0.48650643939063665,0.7895271664574033,5.336975640115284,18.759165475027903,1.0790543329148066,6.879165475027902,near_court
1446,2024-01-01 00:00:10.465620,314,input_video_11.mp4,647.3479614257812,566.6709594726562,664.4769287109375,585.0626220703125,655.9124450683594,575.8667907714844,653.8646545410156,596.8825378417969,21.11528050884542,0.17234719284377548,5.170415785313264,18.61349682712775,3,1446,0.488030093056815,0.7617285592215401,5.353690120833261,18.098670567103795,1.0234571184430803,6.2186705671037945,near_court
1453,2024-01-01 00:00:10.698930,321,input_video_11.mp4,667.4745483398438,406.0074462890625,688.8308715820312,429.7786560058594,678.1527099609375,417.89305114746094,,,159.5316012371555,1.3021292154550566,39.063876463651695,140.6299552691461,3,1453,0.5045779091971261,0.5527685861738901,5.535219663892473,13.133781607491631,0.6055371723477803,1.2537816074916304,near_service_area
